href,video_code,page,actor,rate,comment_number,hacked_subtitle,hacked_no_subtitle,subtitle,no_subtitle,size_hacked_subtitle,size_hacked_no_subtitle,size_subtitle,size_no_subtitle
/v/DRVkWa,JUR-397,1,岬ひかり,4.35,379,,magnet:?xt=urn:btih:2d779460908f444959b493db62fa22aaf58c013d&dn=[javdb.com]JUR-397-U.无码破解.torrent,[DOWNLOADED PREVIOUSLY],,,7.94GB,6.52GB,
/v/4Dd98p,JUR-400,1,市来まひろ,4.23,155,,magnet:?xt=urn:btih:11555ecffaafc013699dede596897d06dea5afb0&dn=[javdb.com]JUR-400-U.无码破解.torrent,[DOWNLOADED PREVIOUSLY],,,9.49GB,6.38GB,
/v/a8yNqp,JUR-407,1,藤かんな,4.52,591,,magnet:?xt=urn:btih:4fd75dacb324272dda6937e12d1f6ede01b7dc2d&dn=[javdb.com]JUR-407-U.无码破解.torrent,[DOWNLOADED PREVIOUSLY],,,6.25GB,6.12GB,
/v/mOJqwZ,JUR-415,1,宮下華奈,4.4,182,,magnet:?xt=urn:btih:210b6884c4b18c9d8094ff717e95c06e29afe851&dn=[javdb.com]JUR-415-U.无码破解.torrent,[DOWNLOADED PREVIOUSLY],,,6.62GB,5.14GB,
/v/AqKpGm,JUR-430,1,小野りんか,3.86,242,,magnet:?xt=urn:btih:dca507faafaa96f57e5e8f8a71b0b27ac619c5d7&dn=[javdb.com]JUR-430-U.无码破解.torrent,[DOWNLOADED PREVIOUSLY],,,8.58GB,7.06GB,
/v/gyqaag,ALDN-484,1,白木優子,4.14,72,,,magnet:?xt=urn:btih:4839d700f520129b1cea3deeaa17ae562ff683a4&dn=[javdb.com]ALDN-484-C.torrent,,,,4.82GB,
/v/yx466a,ALDN-485,2,寺島志保,3.43,45,,,magnet:?xt=urn:btih:f3a70f5ed2e05d2166830863503a40c42a12d982&dn=[javdb.com]ALDN-485-C.torrent,,,,5.00GB,
/v/Bzg221,ALDN-487,2,黒木奈美,3.45,63,,,magnet:?xt=urn:btih:214218597de1fcbbf074d76449fc42c3354045e5&dn=[javdb.com]ALDN-487-C.torrent,,,,4.78GB,
/v/degJJv,ALDN-488,2,川上ゆう,3.61,39,,,magnet:?xt=urn:btih:0c45b4dc7d796ae1c22cb8b72615bd6f46de8da3&dn=[javdb.com]ALDN-488-C.torrent,,,,5.62GB,
/v/QV4N7,MIGD-600,2,桜井あゆ,4.53,495,magnet:?xt=urn:btih:afe100cde243bd81f840193679aa29e7acde0e14&dn=[javdb.com]MIGD-600-UC.无码破解.torrent,,magnet:?xt=urn:btih:5991fa4c0fa915a61e2e3ddd1c4fdd2749a8ae0a&dn=[javdb.com][7sht.me]migd-600-c.torrent,,8.03GB,,5.90GB,
/v/nKzNXw,NACR-985,2,五芭,3.75,38,,,magnet:?xt=urn:btih:9e09e0c637159abb34b418011074ca7519a316cd&dn=[javdb.com]NACR-985-C.torrent,,,,5.12GB,
/v/OXWGw0,NACR-986,2,巴ひかり,3.68,59,,,magnet:?xt=urn:btih:719d872fc49def8715169a7ef50099a284c779ad&dn=[javdb.com]NACR-986-C.torrent,,,,5.10GB,
/v/z45JDW,NACR-988,2,紗々原ゆり,4.02,107,,,magnet:?xt=urn:btih:f6118da4d394840e7807d76abc4a9d1bd921d4a7&dn=[javdb.com]NACR-988-C.torrent,,,,4.96GB,
/v/J06mWx,NACR-989,2,逢坂希穂,3.2,39,,,magnet:?xt=urn:btih:fdaa6919cd18e35dd77780908740751b6c40c13d&dn=[javdb.com]NACR-989-C.torrent,,,,5.05GB,
/v/V4NrpG,NACR-990,2,天馬ゆい,3.85,46,,,magnet:?xt=urn:btih:d4f553aebda412e0382c55da5ca2c092b61ee732&dn=[javdb.com]NACR-990-C.torrent,,,,4.85GB,
/v/QNWdg8,NACR-991,2,逢沢みゆ,3.97,80,,,magnet:?xt=urn:btih:118127bc4fec732cf0934d3066db5674a6fc34f8&dn=[javdb.com]NACR-991-C.torrent,,,,4.87GB,
/v/vezQO,SNIS-553,2,明日花キララ,4.36,584,magnet:?xt=urn:btih:4b02b1b14db45df97aa62901fb555c5b0f7740ef&dn=[javdb.com]SNIS-553-UC.无码破解.torrent,,magnet:?xt=urn:btih:2437504396331988997f1b7eb0883b19694491b4&dn=[javdb.com]snis-553-C.torrent,,9.21GB,,6.45GB,
/v/eKn8b,WANZ-235,2,桜井あゆ,4.0,84,magnet:?xt=urn:btih:268d565b08c712b4680ec4b314c2915b3d63867c&dn=[javdb.com]WANZ-235-UC.无码破解.torrent,,magnet:?xt=urn:btih:4da641bcaf9add4acf63b0bc27b54d5b1bbef358&dn=[javdb.com]wanz-235-C.torrent,,6.40GB,,4.90GB,
/v/vWKpk,CWPBD-32,4,星崎アンリ,4.16,65,[DOWNLOADED PREVIOUSLY],,,magnet:?xt=urn:btih:76a6511fda4788bef29d558d6a815ecea732e37e&dn=[javdb.com]CWPBD-32-HD,4.07GB,,,3.41GB
/v/P9VMzN,START-380,1,本庄鈴,4.39,86,,,,magnet:?xt=urn:btih:ed34678750c83b70bbcebb9c759c7fcfbfa488aa&dn=[javdb.com]start-380.torrent,,,,5.74GB
/v/1A4m8w,JUR-396,1,星宮一花,4.09,302,,magnet:?xt=urn:btih:81cdf26a046212bb8f895ec87c61ed65c809235c&dn=[javdb.com]JUR-396-U.无码破解.torrent,,[DOWNLOADED PREVIOUSLY],,8.04GB,,6.61GB
/v/OXWG4K,RPRJ-002,2,吉瀬かすみ,4.27,127,,,,magnet:?xt=urn:btih:2ac011e3607c81efbbff97ce7fe63b9dc8a69828&dn=[javdb.com]RPRJ-002,,,,2.37GB
/v/AqKpkP,JUR-331,3,白石茉莉奈,4.26,226,,[DOWNLOADED PREVIOUSLY],,[DOWNLOADED PREVIOUSLY],,8.99GB,,6.60GB
/v/0edA6b,JUR-334,3,橘メアリー,4.32,362,,[DOWNLOADED PREVIOUSLY],,[DOWNLOADED PREVIOUSLY],,8.59GB,,7.12GB
/v/Mbqd4P,JUR-361,3,木下凛々子,4.26,283,,[DOWNLOADED PREVIOUSLY],,[DOWNLOADED PREVIOUSLY],,7.62GB,,8.46GB
