href,video_code,page,actor,rate,comment_number,hacked_subtitle,hacked_no_subtitle,subtitle,no_subtitle,size_hacked_subtitle,size_hacked_no_subtitle,size_subtitle,size_no_subtitle
/v/mOybbR,ADN-699,3,梓ヒカリ,4.07,142,,,magnet:?xt=urn:btih:b1cddcd7ee9e29655b9da27280633cc36e9398e8&dn=[javdb.com]ADN-699-C.torrent,,,,5.90GB,
/v/AqknnM,ADN-701,3,鳳みゆ,4.0,132,,,magnet:?xt=urn:btih:254d485c36fe216f3d6bc01cf06d746e7bf02f5b&dn=[javdb.com]ADN-701-C.torrent,,,,4.64GB,
/v/kK3bbP,ADN-716,3,夏目彩春,4.27,267,,,magnet:?xt=urn:btih:af7e1ef7b386d946b56db57267060c921ae20763&dn=[javdb.com]ADN-716-C.torrent,,,,5.10GB,
/v/Mb4KK7,ADN-720,3,美ノ嶋めぐり,4.17,288,magnet:?xt=urn:btih:c0ec93290c7822b907513a13ad9af8214c4b9612&dn=[javdb.com]ADN-720-UC.无码破解.torrent,,magnet:?xt=urn:btih:cac163f2a1cb315d8ffa71f05436c23437e15587&dn=[javdb.com]ADN-720-C.torrent,,6.09GB,,4.77GB,
/v/kK3bbV,CAWD-866,3,塚本さや,3.95,132,,,magnet:?xt=urn:btih:0ce70c7fcb40966310e5070dd0f772cdfa29e0cc&dn=[javdb.com]CAWD-866-C.torrent,,,,6.05GB,
/v/0e644X,CAWD-870,3,青葉はる,4.02,109,,,magnet:?xt=urn:btih:422fbe29e8f936795f5652c11ea2e30e9baf5c90&dn=[javdb.com]CAWD-870-C.torrent,,,,5.16GB,
/v/Aqkngq,CAWD-873,3,日向由奈,4.14,230,,,magnet:?xt=urn:btih:692bfb2422ee7ef2228514dd37f8a31861e76409&dn=[javdb.com]CAWD-873-C.torrent,,,,6.07GB,
/v/WwK4we,MIAB-534,3,柏木こなつ,4.1,170,,,magnet:?xt=urn:btih:b66372b18a7aaae515fe96b3053a5b9f475aa8b5&dn=[javdb.com]MIAB-534-C.torrent,,,,4.92GB,
/v/WwKrre,MIDA-304,3,石川澪,3.96,354,magnet:?xt=urn:btih:8b5e8c987cf5a8f9a5646ee6822dc73bd8556020&dn=[javdb.com]MIDA-304-UC.无码破解.torrent,,[DOWNLOADED PREVIOUSLY],,8.01GB,,7.55GB,
/v/Mb4BQX,RBK-122,3,栗山莉緒,3.93,134,magnet:?xt=urn:btih:39f8d559dd5d561ef9ebe0d95f7f4066785d9bee&dn=[javdb.com]RBK-122-UC.无码破解.torrent,,magnet:?xt=urn:btih:719afa9d57aa099c0c16308a65871b312286c583&dn=[javdb.com]RBK-122-C.torrent,,6.32GB,,5.14GB,
/v/ZNpYnV,UFD-079,3,北野未奈,4.38,343,magnet:?xt=urn:btih:f6189c82de4c7e197f17737c7be77299cf30ba23&dn=[javdb.com]UFD-079-UC.无码破解.torrent,,magnet:?xt=urn:btih:94adea857d76abeedd7d63fadc8ac4592a4ac3f6&dn=[javdb.com]UFD-079-C.torrent,,6.46GB,,5.04GB,
/v/4D8N0R,SONE-882,1,坂道みる,4.6,100,,,,magnet:?xt=urn:btih:1879a96cd0155e36746527a509918a6ef1e27b1d&dn=[javdb.com]SONE-882,,,,6.02GB
/v/RkJAbz,JUR-422,1,新妻ゆうか,4.55,100,,,,magnet:?xt=urn:btih:ccf3684fcd1d33b0ea0e69083973c73c12945a6b&dn=[javdb.com]jur-422,,,,6.36GB
/v/r3Dv7v,JUR-487,2,星冬香,4.47,92,,,,magnet:?xt=urn:btih:a9dbf26c2478c54755d2a1e1a6af99ec2dce258b&dn=[javdb.com]jur-487,,,,5.02GB
/v/964wg6,IPZZ-688,2,三澄寧々,4.21,100,,,,magnet:?xt=urn:btih:33b0212fdc0a4dfd663406e2d43c43bcb4ed81e6&dn=[javdb.com]ipzz-688,,,,8.92GB
/v/824wyV,IPZZ-736,2,ひなの花音,4.39,99,,,,magnet:?xt=urn:btih:f6207c89634cb3a57dbf595f20ec960a130f9d31&dn=[javdb.com]ipzz-736,,,,8.88GB
/v/Mb4ZdR,SONE-846,2,瀬戸環奈,4.56,211,,,,magnet:?xt=urn:btih:44594e58ab30c6c16c49170b017bfcf82a5348eb&dn=[javdb.com]SONE-846.mp4,,,,8.75GB
/v/z4BQ9z,IPZZ-655,2,田中レモン,4.1,102,,,,magnet:?xt=urn:btih:d2929a223e5ba91e70b046c0c22f1d283f00c3c4&dn=[javdb.com]ipzz-655,,,,5.04GB
/v/AqkBmP,SONE-894,2,篠真有,4.31,100,,,,magnet:?xt=urn:btih:245a37fccf7cc9a45ccd0695b465ff866c6c93ee&dn=[javdb.com]sone-894,,,,7.91GB
