href,video_code,page,actor,rate,comment_number,hacked_subtitle,hacked_no_subtitle,subtitle,no_subtitle,size_hacked_subtitle,size_hacked_no_subtitle,size_subtitle,size_no_subtitle
/v/yx0qNb,PFES-107,1,楓ふうあ,4.64,6186,magnet:?xt=urn:btih:4d1bf191b5ae307d333608d00d54d17e73fc3ca9&dn=[javdb.com]PFES-107-UC.无码破解.torrent,,magnet:?xt=urn:btih:bf4a0ec181a8cb940f89973808a8706998be7e76&dn=[javdb.com]PFES-107-C.torrent,,8.98GB,,8.34GB,
/v/r3O2Xq,MIDA-039,1,田中レモン,4.64,5778,magnet:?xt=urn:btih:c29ee204bcf6b02121764de4fe5da1d45f17bacd&dn=[javdb.com]MIDA-039-UC,,magnet:?xt=urn:btih:36a9b4f3946ef7a91705c6c03123081a68bfc419&dn=[javdb.com]MIDA-039-C.torrent,,12.30GB,,11.17GB,
/v/Aqb7ay,JUR-020,1,明里つむぎ,4.63,4546,magnet:?xt=urn:btih:9205922f1c2f92c6f263257a4ac4125f76c71504&dn=[javdb.com]JUR-020-UC,,magnet:?xt=urn:btih:73e7bacebf16d6025fc0fe5bd4f5466e8d11085e&dn=[javdb.com]JUR-020-C.torrent,,7.20GB,,5.51GB,
/v/wKY2XY,IPZZ-477,1,桃乃木かな,4.59,3911,magnet:?xt=urn:btih:c73cfaed155c96bd6a2bc9024f3018ade10d2267&dn=[javdb.com]IPZZ-477-UC.无码破解.torrent,,magnet:?xt=urn:btih:3cc7689a7f096cabf7c2255c032df1befa509d8c&dn=[javdb.com]IPZZ-477-C.torrent,,5.21GB,,4.85GB,
/v/96d7BE,PRED-743,1,白峰ミウ,4.61,4261,magnet:?xt=urn:btih:dff311498e44e6a680fab82b963bf197aecc66ce&dn=[javdb.com]PRED-743-UC,,magnet:?xt=urn:btih:24d9c756a3d66859352830741a5a64919a81a0de&dn=[javdb.com]PRED-743-C.torrent,,6.85GB,,5.20GB,
/v/P94kBE,SONE-576,1,明日葉みつは,4.6,5391,magnet:?xt=urn:btih:322fadff534bdc32afa23a6d1270d803bd2b0671&dn=[javdb.com]SONE-576-UC,,,magnet:?xt=urn:btih:45ac54a66ce5abd1a3fdd3d9d523a3d8edeaca35&dn=[javdb.com]SONE-576.[4K]@R90s,7.42GB,,,22.61GB
/v/Mb63P7,START-257,1,小湊よつ葉,4.62,5182,magnet:?xt=urn:btih:e9490bc548519fe8015ee0d6fa0feffbe31465b9&dn=[javdb.com]START-257-UC.torrent.无码破解,,magnet:?xt=urn:btih:45275c58f245a0a3f0e8595b47dfaa07f224cc37&dn=[javdb.com]START-257-C.torrent,,7.38GB,,5.82GB,
/v/nKg2am,MIAB-418,1,森沢かな,4.6,3968,magnet:?xt=urn:btih:35117bd03482caa45c6948a5fccc87990e366727&dn=[javdb.com]MIAB-418-UC,,,magnet:?xt=urn:btih:978f9ecb28c614c62d8253a1c269ff7729291f0e&dn=[javdb.com]MIAB-418,8.60GB,,,1.56GB
/v/4D6Me3,SONE-705,1,楓ふうあ,4.58,5182,magnet:?xt=urn:btih:4b23995823fb4f8e1edd98234e5c1353040e4fca&dn=[javdb.com]SONE-705-UC.torrent.无码破解,,magnet:?xt=urn:btih:5dea4097f3e68bb4bbcebeef962c4dd95284ce09&dn=[javdb.com]SONE-705-C.torrent,,6.19GB,,6.10GB,
/v/YwEn6e,SONE-521,1,金松季歩,4.55,4879,magnet:?xt=urn:btih:e68ec2a951182e6a2a20c0cfc5eb7ba2046c6647&dn=[javdb.com]SONE-521-UC.torrent.无码破解,,magnet:?xt=urn:btih:6367e20fd1a4bb9d04450e7ecb3603f373d5c823&dn=[javdb.com]SONE-521-C.torrent,,7.44GB,,7.04GB,
